ENERGY_OTHER,Usage and supply charges - UMS Telemetry Station
DISCOUNTS,Credits - 34% Guaranteed Discount
NETWORK_LINE_ITEMS,network  anytime -
NETWORK_LINE_ITEMS,Network Anytime -
ENERGY_LINE_ITEMS,Peak (1 x Hfc (Cable Tv) - Optus)
OTHER_CHARGES,Other Charges - Gas Energy Charge Adjustment
CERTIFICATES,Other Charges - E&REC VEET Charge
DISCOUNTS,Credits - 22% Guaranteed discount
OTHER_CHARGES,Other charges - Reversal Debit
ENERGY_LINE_ITEMS,Solar generation
DEMANDS,Network Charges - Demand Variable
CERTIFICATES,Renewable Energy Charges - E&REC SRES
MARKET,Renewable Energy Charges - AEMO Pool Fees
MARKET,Renewable Energy Charges - AEMO Ancillary Charge
METERING,Renewable Energy Charges - Metering Charges
NETWORK_LINE_ITEMS,NETWORK CHARGES - NetworkPeak
DEMANDS,NETWORK CHARGES - Summer Demand
CERTIFICATES,RENEWABLE ENERGY CHARGES - E & REC LRET
CERTIFICATES,RENEWABLE ENERGY CHARGES - E & REC SRES
CERTIFICATES,RENEWABLE ENERGY CHARGES - E & REC NSW ESS Flexi Renewable
MARKET,Other charges - AEMO Pool Fees/kWh
METERING,Other charges - Metrer Charge
ENERGY_SERVICE,Other charges - Retail ServiceFee
ENERGY_LINE_ITEMS,Energy Charges - * Everyday Saver Business Peak Consumption Block 1 ( 27.39730 kWh/day) ^
ENERGY_LINE_ITEMS,Energy Charges - * Everyday Saver Business Peak Consumption Block 2 ( 300.78635 kWh/day)^
ENERGY_SERVICE,Energy Charges - * Everyday Saver Business Supply Charge
DISCOUNTS,Energy Charges - * Everyday Saver Business Discount 39%
ENERGY_LINE_ITEMS,Energy Charges - * Everyday Saver Business Peak Consumption - Block 1 ( 96.21689 MJ/day)^
ENERGY_SERVICE,Energy Charges - * Everyday Saver - Business Supply Charge
DISCOUNTS,Energy Charges - * Everyday Saver Business Discount on Usage 10%
CERTIFICATES,Environmental Charges - SA REPS Charge
NETWORK_SERVICE,Network Charges (RTOU) - Fixed
NETWORK_LINE_ITEMS,Network Charges (RTOU) - Peak Usage
NETWORK_LINE_ITEMS,Network Charges (RTOU) - Off Peak Usage
ENERGY_SOLAR,Network Charges (RTOU) - Solar Sponge Usage
METERING,Network Charges (RTOU) - Metering Charge Capital
OTHER_CHARGES,Network Charges (RTOU) - AEMO Charge - Direction Compensation Recovery - Wk 36-39
OTHER_CHARGES,Network Charges (RTOU) - GSL - DURATION : INTERRUPTION 60 HOURS
ENERGY_LINE_ITEMS,Energy Charges - * Business Balance Plan 12 Peak Consumption - Block 1 ( 8.73859 MJ/day)^
ENERGY_SERVICE,Energy Charges - * Business Balance Plan 12 Supply Charge
DISCOUNTS,Energy Charges - * Additional Business Balance Plan 12 Discount 35%
ENERGY_LINE_ITEMS,Energy Consumption - * Gas Commodity Charge
METERING,Energy Consumption - * Meter Data Handling Fee
